time,x,y
0.00,12.3400,4.50
0.10,12.4294,4.50
0.20,12.5188,4.50
0.30,12.6082,4.50
0.40,12.6976,4.50
0.50,12.7870,4.50
0.60,12.8764,4.50
0.70,12.9658,4.50
0.80,13.0552,4.50
0.90,13.1446,4.50
1.00,13.2340,4.50
1.10,13.3234,4.50
1.20,13.4128,4.50
1.30,13.5022,4.50
1.40,13.5916,4.50
1.50,13.6810,4.50
1.60,13.7704,4.50
1.70,13.8598,4.50
1.80,13.9492,4.50
1.90,14.0386,4.50
2.00,14.1280,4.50
2.10,14.2174,4.50
2.20,14.3068,4.50
2.30,14.3962,4.50
2.40,14.4856,4.50
2.50,14.5750,4.50
2.60,14.6644,4.50
2.70,14.7538,4.50
2.80,14.8432,4.50
2.90,14.9326,4.50
3.00,15.0220,4.50
3.10,15.1114,4.50
3.20,15.2008,4.50
3.30,15.2902,4.50
3.40,15.3796,4.50
3.50,15.4690,4.50
3.60,15.5584,4.50
3.70,15.6478,4.50
3.80,15.7372,4.50
3.90,15.8266,4.50
4.00,15.9160,4.50
4.10,16.0054,4.50
4.20,16.0948,4.50
4.30,16.1842,4.50
4.40,16.2736,4.50
4.50,16.3630,4.50
4.60,16.4524,4.50
4.70,16.5418,4.50
4.80,16.6312,4.50
4.90,16.7206,4.50
5.00,16.8100,4.50
5.10,16.8994,4.50
5.20,16.9888,4.50
5.30,17.0782,4.50
5.40,17.1676,4.50
5.50,17.2570,4.50
5.60,17.3464,4.50
5.70,17.4358,4.50
5.80,17.5252,4.50
5.90,17.6146,4.50
6.00,17.7040,4.50
6.10,17.7934,4.50
6.20,17.8828,4.50
6.30,17.9722,4.50
6.40,18.0616,4.50
6.50,18.1510,4.50
6.60,18.2404,4.50
6.70,18.3298,4.50
6.80,18.4192,4.50
6.90,18.5086,4.50
7.00,18.5980,4.50
7.10,18.6874,4.50
7.20,18.7768,4.50
7.30,18.8662,4.50
7.40,18.9556,4.50
7.50,19.0450,4.50
7.60,19.1344,4.50
7.70,19.2238,4.50
7.80,19.3132,4.50
7.90,19.4026,4.50
8.00,19.4920,4.50
8.10,19.5814,4.50
8.20,19.6708,4.50
8.30,19.7602,4.50
8.40,19.8496,4.50
8.50,19.9390,4.50
8.60,20.0284,4.50
8.70,20.1178,4.50
8.80,20.2072,4.50
8.90,20.2966,4.50
9.00,20.3860,4.50
9.10,20.4754,4.50
9.20,20.5648,4.50
9.30,20.6542,4.50
9.40,20.7436,4.50
9.50,20.8330,4.50
9.60,20.9224,4.50
9.70,21.0118,4.50
9.80,21.1012,4.50
9.90,21.1906,4.50
